"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
31,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,34,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185578371247,4242185578388527,4242185578421327,4242185578421782,32800
32,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,35,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185578441859,4242185578458287,4242185578490927,4242185578491432,32640
33,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,36,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185578509956,4242185578526607,4242185578558928,4242185578559489,32321
34,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,37,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185578578895,4242185578594928,4242185578627568,4242185578628057,32640
35,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,38,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185578647032,4242185578663568,4242185578695888,4242185578696334,32320
36,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,39,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185578716182,4242185578732368,4242185578765008,4242185578765494,32640
37,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,40,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185578785501,4242185578808048,4242185578841008,4242185578841496,32960
38,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,41,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185578864108,4242185578880688,4242185578913008,4242185578913510,32320
39,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,42,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185578938817,4242185578955088,4242185578988048,4242185578988490,32960
40,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,43,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185579007195,4242185579023408,4242185579056208,4242185579056647,32800
41,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,44,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185579074440,4242185579090928,4242185579123888,4242185579124444,32960
42,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,45,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185579142968,4242185579159088,4242185579191248,4242185579191759,32160
43,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,46,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185579210364,4242185579226928,4242185579259408,4242185579259987,32480
44,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,47,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185579278832,4242185579295409,4242185579328049,4242185579328525,32640
45,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,48,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185579347711,4242185579363729,4242185579396689,4242185579397173,32960
46,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,49,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185579415087,4242185579431089,4242185579463409,4242185579464098,32320
47,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,50,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185579482763,4242185579499409,4242185579532209,4242185579532746,32800
48,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,51,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185579551631,4242185579567729,4242185579600849,4242185579601334,33120
49,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,52,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185579619188,4242185579635409,4242185579668689,4242185579669281,33280
50,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,53,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185579686754,4242185579703089,4242185579735569,4242185579736176,32480
51,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,54,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185579755322,4242185579772049,4242185579805169,4242185579805736,33120
52,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,55,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185579823820,4242185579846289,4242185579878609,4242185579879183,32320
53,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,56,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185579901425,4242185579918449,4242185579950769,4242185579951358,32320
54,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,57,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185579970794,4242185579987249,4242185580019569,4242185580020116,32320
55,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,58,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185580039613,4242185580055890,4242185580088370,4242185580088814,32480
56,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,59,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185580108822,4242185580125170,4242185580157490,4242185580158014,32320
57,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,60,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185580177139,4242185580193490,4242185580226130,4242185580226682,32640
58,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,61,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185580245317,4242185580261170,4242185580293490,4242185580294258,32320
59,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,62,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185580313033,4242185580329490,4242185580362290,4242185580362836,32800
60,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,63,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185580381311,4242185580397330,4242185580429970,4242185580430512,32640
61,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,64,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185580448817,4242185580465330,4242185580497490,4242185580497898,32160
62,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,65,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185580516804,4242185580533330,4242185580566450,4242185580566947,33120
63,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,66,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185580585762,4242185580601810,4242185580633970,4242185580634423,32160
64,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,67,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185580653379,4242185580669330,4242185580701810,4242185580702350,32480
65,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,68,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185580720995,4242185580737650,4242185580770131,4242185580770718,32481
66,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,69,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185580789543,4242185580805491,4242185580838451,4242185580839186,32960
67,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,70,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185580857450,4242185580873651,4242185580906451,4242185580906982,32800
68,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,71,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185580928252,4242185580945491,4242185580977971,4242185580978416,32480
69,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,72,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185580998824,4242185581014931,4242185581047411,4242185581047865,32480
70,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,73,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185581066961,4242185581083091,4242185581116531,4242185581117074,33440
71,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,74,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185581134978,4242185581151731,4242185581185011,4242185581185533,33280
72,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,75,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185581204207,4242185581220211,4242185581253331,4242185581253900,33120
73,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,76,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185581272044,4242185581288371,4242185581321491,4242185581322017,33120
74,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,77,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185581340993,4242185581357171,4242185581389651,4242185581390225,32480
75,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,78,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185581408859,4242185581425491,4242185581457971,4242185581458542,32480
76,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,79,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185581477307,4242185581493812,4242185581527252,4242185581527711,33440
77,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,80,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185581545214,4242185581562452,4242185581595412,4242185581595909,32960
78,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,81,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185581615365,4242185581631572,4242185581663732,4242185581664327,32160
79,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,82,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185581683853,4242185581700212,4242185581732532,4242185581733085,32320
80,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,83,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185581752391,4242185581768532,4242185581801172,4242185581801713,32640
81,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,84,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185581819727,4242185581836212,4242185581869172,4242185581869710,32960
82,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,85,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185581888144,4242185581904212,4242185581936852,4242185581937386,32640
83,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,86,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185581959728,4242185581976852,4242185582009332,4242185582009792,32480
84,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,87,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185582028306,4242185582044372,4242185582076852,4242185582077328,32480
85,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,88,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185582095922,4242185582112532,4242185582145332,4242185582145846,32800
86,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,89,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185582163839,4242185582179892,4242185582212532,4242185582213372,32640
87,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,90,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185582249389,4242185582266773,4242185582299413,4242185582299853,32640
88,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,91,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185582320742,4242185582337013,4242185582369333,4242185582369794,32320
89,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,92,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185582389060,4242185582405813,4242185582438293,4242185582438793,32480
90,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,93,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185582457718,4242185582473653,4242185582506133,4242185582506639,32480
91,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,94,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185582525464,4242185582541813,4242185582574293,4242185582574867,32480
92,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,95,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185582592981,4242185582609013,4242185582642133,4242185582642623,33120
93,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,96,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185582660507,4242185582677013,4242185582709653,4242185582710220,32640
94,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,97,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185582729015,4242185582745333,4242185582777013,4242185582777465,31680
95,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,98,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185582797031,4242185582813493,4242185582845973,4242185582846584,32480
