"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
726,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,1321,104683,104683,16000000,256,0,0,4,4,16,64,"0x0","0x7fe6c5ad4440",2946754713560033,2946754739552173,2946754739735374,2946754739748723,183201
727,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,1323,104683,104683,46080,256,16896,0,60,20,32,64,"0x0","0x7fe6c5c08600",2946754713645713,2946754739748494,2946754739756654,2946754739779441,8160
728,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,1325,104683,104683,16000000,256,0,0,4,4,16,64,"0x0","0x7fe6c5ad4440",2946754713680969,2946754739768174,2946754739947054,2946754739958495,178880
729,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,1327,104683,104683,46080,256,16896,0,60,20,32,64,"0x0","0x7fe6c5c08600",2946754713768923,2946754739960174,2946754739968494,2946754739987730,8320
730,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,1329,104683,104683,16000000,256,0,0,4,4,16,64,"0x0","0x7fe6c5ad4440",2946754713801154,2946754739979854,2946754740168014,2946754740179357,188160
731,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,1331,104683,104683,46080,256,16896,0,60,20,32,64,"0x0","0x7fe6c5c08600",2946754713888907,2946754740181294,2946754740190094,2946754740209033,8800
732,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,1333,104683,104683,16000000,256,0,0,4,4,16,64,"0x0","0x7fe6c5ad4440",2946754713928381,2946754740201454,2946754740382734,2946754740395260,181280
733,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,1335,104683,104683,46080,256,16896,0,60,20,32,64,"0x0","0x7fe6c5c08600",2946754714016015,2946754740395854,2946754740404654,2946754740425106,8800
734,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,1337,104683,104683,16000000,256,0,0,4,4,16,64,"0x0","0x7fe6c5ad4440",2946754714047203,2946754740416014,2946754740602734,2946754740613658,186720
735,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,1339,104683,104683,46080,256,16896,0,60,20,32,64,"0x0","0x7fe6c5c08600",2946754714132573,2946754740615854,2946754740624334,2946754740643534,8480
736,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,1341,104683,104683,16000000,256,0,0,4,4,16,64,"0x0","0x7fe6c5ad4440",2946754714168890,2946754740635854,2946754740818574,2946754740829001,182720
737,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,1343,104683,104683,46080,256,16896,0,60,20,32,64,"0x0","0x7fe6c5c08600",2946754714272424,2946754740831374,2946754740839694,2946754740858225,8320
738,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,1345,104683,104683,16000000,256,0,0,4,4,16,64,"0x0","0x7fe6c5ad4440",2946754714309122,2946754740851054,2946754741040494,2946754741054622,189440
739,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,1347,104683,104683,46080,256,16896,0,60,20,32,64,"0x0","0x7fe6c5c08600",2946754714395574,2946754741053454,2946754741061614,2946754741062597,8160
740,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,1349,104683,104683,16000000,256,0,0,4,4,16,64,"0x0","0x7fe6c5ad4440",2946754714428024,2946754741072974,2946754741261454,2946754741274963,188480
741,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,1351,104683,104683,46080,256,16896,0,60,20,32,64,"0x0","0x7fe6c5c08600",2946754714514335,2946754741274254,2946754741283534,2946754741303947,9280
742,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,1353,104683,104683,16000000,256,0,0,4,4,16,64,"0x0","0x7fe6c5ad4440",2946754714548359,2946754741294734,2946754741484495,2946754741493451,189761
743,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,1355,104683,104683,46080,256,16896,0,60,20,32,64,"0x0","0x7fe6c5c08600",2946754714635492,2946754741496975,2946754741505615,2946754741522225,8640
